"sampleid"	"IR"
"1"	"nea1004_bwa_rg"	-0.133451352706292
"2"	"nea1027_bwa_rg"	-0.111128517882074
"3"	"nea1039_bwa_rg"	-0.142954144177179
"4"	"nea1114_bwa_rg"	-0.0909766993421977
"5"	"nea1123_bwa_rg"	-0.154337335731847
"6"	"nea1127_bwa_rg"	-0.208496481857356
"7"	"nea1135_bwa_rg"	-0.165113545743054
"8"	"nea1142_bwa_rg"	-0.182928657391133
"9"	"nea1145_bwa_rg"	-0.169523665461167
"10"	"nea1151_bwa_rg"	-0.132871182788505
"11"	"nea1157_bwa_rg"	-0.23648324392663
"12"	"nea1158_bwa_rg"	-0.217782108662023
"13"	"nea1204_bwa_rg"	-0.370411758360352
"14"	"nea1208_bwa_rg"	-0.145687428892159
"15"	"nea1209_bwa_rg"	-0.0948436626100128
"16"	"nea1233_bwa_rg"	-0.121993689549547
"17"	"nea1240_bwa_rg"	-0.117565320071691
"18"	"nea1241_bwa_rg"	-0.35417199740804
"19"	"nea1242_bwa_rg"	-0.123950576987935
"20"	"nea1243_bwa_rg"	-0.235825943400276
"21"	"nea1245_bwa_rg"	-0.123880252929173
"22"	"nea1246_bwa_rg"	-0.0822290980739516
"23"	"nea1254_bwa_rg"	-0.12003922566862
"24"	"nea1266_bwa_rg"	-0.122499042984374
"25"	"nea1267_bwa_rg"	-0.0834316577430981
"26"	"nea1281_bwa_rg"	-0.112243120761068
"27"	"nea1301_bwa_rg"	-0.130490186140188
"28"	"nea1303_bwa_rg"	-0.184984129773214
"29"	"nea1308_bwa_rg"	-0.0974428733021948
"30"	"nea1310_bwa_rg"	-0.200428141484901
"31"	"nea1315_bwa_rg"	-0.153873698930296
"32"	"nea1334_bwa_rg"	-0.242966811645437
"33"	"nea1405_bwa_rg"	-0.116289990916253
"34"	"nea1406_bwa_rg"	-0.0943513337206388
"35"	"nea1407_bwa_rg"	-0.142663013144099
"36"	"nea1408_bwa_rg"	-0.142170621630116
"37"	"nea1430_bwa_rg"	-0.102635105917103
"38"	"nea1503_bwa_rg"	-0.214757713818994
"39"	"nea1509_bwa_rg"	-0.145753178943812
"40"	"nea1515_bwa_rg"	-0.171130685307243
"41"	"nea1601_bwa_rg"	-0.170764453509009
"42"	"nea1602_bwa_rg"	-0.129494534287561
"43"	"nea1608_bwa_rg"	-0.111483523153269
"44"	"nea1611_bwa_rg"	-0.0879696895648109
"45"	"nea1612_bwa_rg"	-0.262634535588862
"46"	"nea1622_bwa_rg"	-0.165803107665653
"47"	"nea1629_bwa_rg"	-0.158821699494432
"48"	"nea1632_bwa_rg"	-0.130969789830367
"49"	"nea1701_bwa_rg"	-0.165751244706758
"50"	"nea1703_bwa_rg"	-0.231087382762341
"51"	"nea1704_bwa_rg"	-0.156058175867844
"52"	"nea1705_bwa_rg"	-0.127723986207005
"53"	"nea1706_bwa_rg"	-0.109503423727927
"54"	"nea1810_bwa_rg"	-0.138886394740959
"55"	"nea1812_bwa_rg"	-0.181380894956743
"56"	"nea1815_bwa_rg"	-0.0570141495163269
"57"	"nea1817_bwa_rg"	-0.269391666187786
"58"	"nea1911_bwa_rg"	-0.0388229421371364
"59"	"nea1950_bwa_rg"	-0.120141957845934
"60"	"nea1968_bwa_rg"	-0.128882490452156
"61"	"nea1970D_bwa_rg"	-0.0799987009960166
"62"	"nea2029_bwa_rg"	-0.175053060449519
"63"	"nea2040_bwa_rg"	-0.0922123751554041
"64"	"nea2123_bwa_rg"	-0.134540338299598
"65"	"nea2145_bwa_rg"	-0.124424477868184
"66"	"nea2223_bwa_rg"	-0.163470854458185
"67"	"nea2330D_bwa_rg"	-0.101877099172625
"68"	"nea2430_bwa_rg"	-0.166631874448802
"69"	"nea2460_bwa_rg"	-0.151099855563172
"70"	"nea2503_bwa_rg"	-0.119620700531138
"71"	"nea2520_bwa_rg"	-0.139367351075378
"72"	"nea2601_bwa_rg"	-0.093412780843838
"73"	"nea2605_bwa_rg"	-0.313655551345998
"74"	"nea2611_bwa_rg"	-0.131715264462518
"75"	"nea2614_bwa_rg"	-0.190498043754156
"76"	"nea2642_bwa_rg"	-0.1181974724453
"77"	"nea2660_bwa_rg"	-0.144608566048222
"78"	"nea2710_bwa_rg"	-0.119783127510126
"79"	"nea2746_bwa_rg"	-0.115031743743863
"80"	"nea2753_bwa_rg"	-0.266498202564044
"81"	"nea2790_bwa_rg"	-0.132549131632375
"82"	"nea2791_bwa_rg"	-0.162038198632608
"83"	"nea3101_bwa_rg"	-0.131270034663473
"84"	"nea3115_bwa_rg"	-0.0720684692235194
"85"	"nea3123_bwa_rg"	-0.10147670712239
"86"	"nea3130_bwa_rg"	-0.130423192437952
"87"	"nea3180_bwa_rg"	-0.11671274318641
"88"	"nea3220_bwa_rg"	-0.375499692394445
"89"	"nea3290_bwa_rg"	-0.129211217500385
"90"	"nea3293_bwa_rg"	-0.100111032849009
"91"	"nea3317_bwa_rg"	-0.136501848673003
"92"	"nea3440_bwa_rg"	-0.0768103083642052
"93"	"nea4020_bwa_rg"	-0.236168814912296
