"INDV"	"F"
"1"	"nea1004_bwa_rg"	-0.11074
"2"	"nea1027_bwa_rg"	-0.09147
"3"	"nea1039_bwa_rg"	-0.14727
"4"	"nea1114_bwa_rg"	-0.05708
"5"	"nea1123_bwa_rg"	-0.14847
"6"	"nea1127_bwa_rg"	-0.17853
"7"	"nea1135_bwa_rg"	-0.15167
"8"	"nea1142_bwa_rg"	-0.1715
"9"	"nea1145_bwa_rg"	-0.17321
"10"	"nea1151_bwa_rg"	-0.10492
"11"	"nea1157_bwa_rg"	-0.25709
"12"	"nea1158_bwa_rg"	-0.20092
"13"	"nea1204_bwa_rg"	-0.46296
"14"	"nea1208_bwa_rg"	-0.11815
"15"	"nea1209_bwa_rg"	-0.08059
"16"	"nea1233_bwa_rg"	-0.12863
"17"	"nea1240_bwa_rg"	-0.11266
"18"	"nea1241_bwa_rg"	-0.44533
"19"	"nea1242_bwa_rg"	-0.12347
"20"	"nea1243_bwa_rg"	-0.24795
"21"	"nea1245_bwa_rg"	-0.10328
"22"	"nea1246_bwa_rg"	-0.07344
"23"	"nea1254_bwa_rg"	-0.11947
"24"	"nea1266_bwa_rg"	-0.10219
"25"	"nea1267_bwa_rg"	-0.0628
"26"	"nea1281_bwa_rg"	-0.11407
"27"	"nea1301_bwa_rg"	-0.12963
"28"	"nea1303_bwa_rg"	-0.18657
"29"	"nea1308_bwa_rg"	-0.09919
"30"	"nea1310_bwa_rg"	-0.22188
"31"	"nea1315_bwa_rg"	-0.12882
"32"	"nea1334_bwa_rg"	-0.31147
"33"	"nea1405_bwa_rg"	-0.09288
"34"	"nea1406_bwa_rg"	-0.055
"35"	"nea1407_bwa_rg"	-0.1386
"36"	"nea1408_bwa_rg"	-0.14268
"37"	"nea1430_bwa_rg"	-0.09431
"38"	"nea1503_bwa_rg"	-0.21182
"39"	"nea1509_bwa_rg"	-0.17805
"40"	"nea1515_bwa_rg"	-0.195
"41"	"nea1601_bwa_rg"	-0.17994
"42"	"nea1602_bwa_rg"	-0.10213
"43"	"nea1608_bwa_rg"	-0.08197
"44"	"nea1611_bwa_rg"	-0.07368
"45"	"nea1612_bwa_rg"	-0.32194
"46"	"nea1622_bwa_rg"	-0.14918
"47"	"nea1629_bwa_rg"	-0.15145
"48"	"nea1632_bwa_rg"	-0.17607
"49"	"nea1701_bwa_rg"	-0.16548
"50"	"nea1703_bwa_rg"	-0.24854
"51"	"nea1704_bwa_rg"	-0.13341
"52"	"nea1705_bwa_rg"	-0.10332
"53"	"nea1706_bwa_rg"	-0.09423
"54"	"nea1810_bwa_rg"	-0.11193
"55"	"nea1812_bwa_rg"	-0.1875
"56"	"nea1815_bwa_rg"	-0.03079
"57"	"nea1817_bwa_rg"	-0.33476
"58"	"nea1911_bwa_rg"	-0.0349
"59"	"nea1950_bwa_rg"	-0.1037
"60"	"nea1968_bwa_rg"	-0.10628
"61"	"nea1970D_bwa_rg"	-0.05998
"62"	"nea2029_bwa_rg"	-0.16337
"63"	"nea2040_bwa_rg"	-0.05957
"64"	"nea2123_bwa_rg"	-0.11553
"65"	"nea2145_bwa_rg"	-0.09922
"66"	"nea2223_bwa_rg"	-0.16543
"67"	"nea2330D_bwa_rg"	-0.0773
"68"	"nea2430_bwa_rg"	-0.15731
"69"	"nea2460_bwa_rg"	-0.1416
"70"	"nea2503_bwa_rg"	-0.10994
"71"	"nea2520_bwa_rg"	-0.16692
"72"	"nea2601_bwa_rg"	-0.08473
"73"	"nea2605_bwa_rg"	-0.31647
"74"	"nea2611_bwa_rg"	-0.12035
"75"	"nea2614_bwa_rg"	-0.1727
"76"	"nea2642_bwa_rg"	-0.1038
"77"	"nea2660_bwa_rg"	-0.13037
"78"	"nea2710_bwa_rg"	-0.115
"79"	"nea2746_bwa_rg"	-0.11167
"80"	"nea2753_bwa_rg"	-0.2877
"81"	"nea2790_bwa_rg"	-0.13348
"82"	"nea2791_bwa_rg"	-0.15505
"83"	"nea3101_bwa_rg"	-0.14106
"84"	"nea3115_bwa_rg"	-0.05012
"85"	"nea3123_bwa_rg"	-0.08623
"86"	"nea3130_bwa_rg"	-0.10258
"87"	"nea3180_bwa_rg"	-0.11219
"88"	"nea3220_bwa_rg"	-0.40799
"89"	"nea3290_bwa_rg"	-0.10744
"90"	"nea3293_bwa_rg"	-0.08789
"91"	"nea3317_bwa_rg"	-0.12461
"92"	"nea3440_bwa_rg"	-0.06038
"93"	"nea4020_bwa_rg"	-0.27544
