"sampleid"	"IR"
"1"	"nea3440"	-0.0801919428948087
"2"	"nea3290"	-0.0993318179317843
"3"	"nea3220"	-0.10046415738862
"4"	"nea3130"	-0.0961363445296452
"5"	"nea3123"	-0.141670531706273
"6"	"nea3115"	-0.0578018329402448
"7"	"nea3101"	-0.124358738671812
"8"	"nea2746"	-0.145215794377555
"9"	"nea2710"	-0.148403444826051
"10"	"nea2660"	-0.140117913811676
"11"	"nea2642"	-0.13119112499394
"12"	"nea3317"	-0.146337158887672
"13"	"nea2611"	-0.137880078358662
"14"	"nea2605"	-0.145109022984683
"15"	"nea2330D"	-0.0922345611351383
"16"	"nea2040"	-0.0896741808799957
"17"	"nea3180"	-0.14959694085612
"18"	"nea2029"	-0.145961491538688
"19"	"nea1970D"	-0.0659731550301797
"20"	"nea1968"	-0.135602251623373
"21"	"nea2503"	-0.142608881742193
"22"	"nea1950"	-0.0966541898541735
"23"	"nea1815"	-0.0776252065672686
"24"	"nea1810"	-0.0860495941953892
"25"	"nea1703"	-0.174706553145355
"26"	"nea2601"	-0.120648185979171
"27"	"nea2430"	-0.109400007596277
"28"	"nea1701"	-0.142333598355454
"29"	"nea2753"	-0.0943241692063488
"30"	"nea1632"	-0.0339325461312462
"31"	"nea2460"	-0.146154077724323
"32"	"nea1622"	-0.0951997616685267
"33"	"nea2790"	-0.148042065561307
"34"	"nea1406"	-0.0844420775749107
"35"	"nea2123"	-0.122882691552453
"36"	"nea1503"	-0.1445897772403
"37"	"nea1151"	-0.130783730883149
"38"	"nea3293"	-0.0921189195875898
"39"	"nea1158"	-0.148832686395908
"40"	"nea1145"	-0.0950585705006964
"41"	"nea2614"	-0.15341269467268
"42"	"nea1142"	-0.113405533420139
"43"	"nea1114"	-0.115261563603681
"44"	"nea1127"	-0.125993552313997
"45"	"nea1004"	-0.145637920271101
"46"	"nea1246"	-0.122792759752619
"47"	"nea1039"	-0.153093023636004
"48"	"nea1706"	-0.119745617084187
"49"	"nea1209"	-0.116526779015471
"50"	"nea1608"	-0.0855030338756162
"51"	"nea2791"	-0.121373750023934
"52"	"nea1123"	-0.125299983542675
"53"	"nea1812"	-0.131769248767323
"54"	"nea1705"	-0.0989972213595732
"55"	"nea1629"	-0.0863845640469194
"56"	"nea1430"	-0.109116961744293
"57"	"nea1135"	-0.170886863885529
"58"	"nea1157"	-0.101681632410598
"59"	"nea1509"	-0.0988513714209549
"60"	"nea1515"	-0.117910199484254
"61"	"nea1027"	-0.149070444593599
"62"	"nea1281"	-0.127299744856238
"63"	"nea1601"	-0.0899747124777612
"64"	"nea4020"	-0.0687965793905445
"65"	"nea1208"	-0.116834535958851
"66"	"nea1408"	-0.132599064750725
"67"	"nea1242"	-0.146504769907497
"68"	"nea2520"	-0.110891331826581
"69"	"nea1243"	-0.141259213052031
"70"	"nea1254"	-0.091263666333726
"71"	"nea1308"	-0.105528573986519
"72"	"nea1245"	-0.119472275458425
"73"	"nea1266"	-0.132706179164929
"74"	"nea1303"	-0.104822926395666
"75"	"nea1704"	-0.145499173060685
"76"	"nea1407"	-0.114707568767765
"77"	"nea1911"	-0.0559825827847044
"78"	"nea2223"	-0.135766750056552
"79"	"nea1267"	-0.107971234655521
"80"	"nea1310"	-0.0935845507827644
"81"	"nea1240"	-0.113006163735622
"82"	"nea1315"	-0.114003113832889
"83"	"nea1233"	-0.149454271313656
"84"	"nea1405"	-0.12771573321257
"85"	"nea1611"	-0.0684656173933678
"86"	"nea1602"	-0.0939006958948272
"87"	"nea2145"	-0.0976757328958256
"88"	"nea1301"	-0.116615851537002
"89"	"nea1612"	-0.110668881799575
