"id"	"num_100kb"	"totalLength"	"FROH"	"nea"
"1"	1	14	62356788	0.0287785110809759	"nea3440"
"2"	2	12	77042512	0.0355561736967308	"nea3290"
"3"	3	7	44051989	0.0203305958218298	"nea3130"
"4"	4	2	4821317	0.00222510378035183	"nea3123"
"5"	5	14	92333498	0.04261317300914	"nea3115"
"6"	6	9	12223943	0.00564151699216319	"nea3101"
"7"	7	7	30669216	0.0141542629248454	"nea2746"
"8"	8	1	180044	8.30927700936621e-05	"nea2710"
"9"	9	7	30115540	0.0138987338732004	"nea2660"
"10"	10	2	401243	0.000185179135937278	"nea2642"
"11"	11	4	20795584	0.00959744662568837	"nea3317"
"12"	12	2	9324715	0.00430348359114395	"nea2611"
"13"	13	7	21810127	0.0100656721052886	"nea2330D"
"14"	14	8	38121974	0.0175938127407665	"nea2040"
"15"	15	6	25534343	0.0117844487591462	"nea3180"
"16"	16	1	5296011	0.00244418155804417	"nea2029"
"17"	17	8	40301318	0.0185996098234074	"nea1970D"
"18"	18	7	38413352	0.0177282876755844	"nea1968"
"19"	19	5	8660923	0.00399713449844433	"nea2503"
"20"	20	1	3509351	0.00161961351570151	"nea1950"
"21"	21	22	79383430	0.0366365393916838	"nea1815"
"22"	22	7	29343031	0.0135422103970929	"nea1810"
"23"	24	8	35529313	0.0163972642059428	"nea2601"
"24"	25	10	42419058	0.0195769758169321	"nea2430"
"25"	26	1	3994656	0.00184358841511668	"nea1701"
"26"	27	3	623308	0.000287665172633025	"nea2460"
"27"	28	7	40649656	0.0187603725777835	"nea1622"
"28"	29	3	858788	0.000396342415427317	"nea2790"
"29"	30	12	46276776	0.0213573654709065	"nea1406"
"30"	31	4	32913155	0.0151898714840376	"nea2123"
"31"	32	1	13280923	0.00612932772805886	"nea1503"
"32"	33	3	18502304	0.00853906651971209	"nea1151"
"33"	34	9	13525563	0.00624223243621749	"nea3293"
"34"	35	1	2427055	0.00112011909932946	"nea1158"
"35"	37	3	844439	0.000389720155545988	"nea1142"
"36"	38	7	29914789	0.0138060845392094	"nea1114"
"37"	39	3	12464003	0.00575230796763966	"nea1127"
"38"	40	4	827817	0.000382048875056237	"nea1004"
"39"	41	16	55331997	0.0255364738927384	"nea1246"
"40"	42	3	3255294	0.00150236273316121	"nea1039"
"41"	43	5	16867560	0.00778460979050149	"nea1706"
"42"	44	7	25656251	0.0118407109695868	"nea1209"
"43"	45	11	65911247	0.0304189425560284	"nea1608"
"44"	46	4	22197438	0.0102444214325516	"nea2791"
"45"	47	2	287273	0.000132580421136592	"nea1123"
"46"	48	6	39174862	0.0180797349626588	"nea1812"
"47"	49	9	47641633	0.0219872656559265	"nea1705"
"48"	50	10	62671606	0.0289238038965951	"nea1629"
"49"	51	9	30379857	0.0140207197861597	"nea1430"
"50"	53	9	15306341	0.00706408585505873	"nea1509"
"51"	54	1	2055796	0.000948777989755116	"nea1515"
"52"	55	5	15713569	0.0072520271504071	"nea1027"
"53"	56	4	14861292	0.00685868965058974	"nea1281"
"54"	57	2	18822337	0.00868676612920414	"nea1601"
"55"	58	3	16442897	0.0075886220040366	"nea1208"
"56"	59	5	1127667	0.000520433753822453	"nea1408"
"57"	60	3	6671158	0.00307883071889368	"nea1242"
"58"	61	2	12740154	0.00587975543355985	"nea2520"
"59"	63	1	646870	0.000298539358104059	"nea1254"
"60"	64	9	68447246	0.0315893408023724	"nea1308"
"61"	65	8	69434628	0.0320450311087454	"nea1245"
"62"	66	4	16155344	0.00745591235906791	"nea1266"
"63"	67	2	25211272	0.0116353470710758	"nea1303"
"64"	68	2	7665535	0.0035377493135007	"nea1704"
"65"	69	8	42228321	0.0194889480809933	"nea1407"
"66"	70	19	106481306	0.0491425800289423	"nea1911"
"67"	71	1	5869481	0.00270884581159115	"nea2223"
"68"	72	6	9965497	0.00459921325392726	"nea1267"
"69"	73	1	4489592	0.00207200815284233	"nea1310"
"70"	74	3	5050348	0.0023308047213847	"nea1240"
"71"	75	6	21854372	0.0100860917783284	"nea1315"
"72"	76	3	13405758	0.00618694078905863	"nea1233"
"73"	77	4	33794816	0.0155967701020062	"nea1405"
"74"	78	2	8738423	0.00403290180911427	"nea1611"
"75"	79	7	21777190	0.0100504712290107	"nea2145"
"76"	80	5	22781358	0.0105139085041179	"nea1301"
