"INDV"	"F"
"1"	"nea3440"	-0.087
"2"	"nea3290"	-0.09895
"3"	"nea3130"	-0.08827
"4"	"nea3123"	-0.16005
"5"	"nea3115"	-0.02996
"6"	"nea3101"	-0.1581
"7"	"nea2746"	-0.18991
"8"	"nea2710"	-0.17469
"9"	"nea2660"	-0.16119
"10"	"nea2642"	-0.14665
"11"	"nea3317"	-0.16311
"12"	"nea2611"	-0.17926
"13"	"nea2330D"	-0.09043
"14"	"nea2040"	-0.07736
"15"	"nea3180"	-0.16751
"16"	"nea2029"	-0.20044
"17"	"nea1970D"	-0.04785
"18"	"nea1968"	-0.14788
"19"	"nea2503"	-0.15755
"20"	"nea1950"	-0.08901
"21"	"nea1815"	-0.06334
"22"	"nea1810"	-0.06967
"23"	"nea1703"	-0.20254
"24"	"nea2601"	-0.14849
"25"	"nea2430"	-0.14593
"26"	"nea1701"	-0.18017
"27"	"nea2460"	-0.17363
"28"	"nea1622"	-0.0955
"29"	"nea2790"	-0.15474
"30"	"nea1406"	-0.07609
"31"	"nea2123"	-0.11448
"32"	"nea1503"	-0.19322
"33"	"nea1151"	-0.13385
"34"	"nea3293"	-0.08988
"35"	"nea1158"	-0.16349
"36"	"nea2614"	-0.1733
"37"	"nea1142"	-0.13739
"38"	"nea1114"	-0.12048
"39"	"nea1127"	-0.14399
"40"	"nea1004"	-0.14888
"41"	"nea1246"	-0.15792
"42"	"nea1039"	-0.21297
"43"	"nea1706"	-0.14305
"44"	"nea1209"	-0.12652
"45"	"nea1608"	-0.08271
"46"	"nea2791"	-0.14943
"47"	"nea1123"	-0.15142
"48"	"nea1812"	-0.17642
"49"	"nea1705"	-0.10211
"50"	"nea1629"	-0.11955
"51"	"nea1430"	-0.12961
"52"	"nea1135"	-0.18025
"53"	"nea1509"	-0.11204
"54"	"nea1515"	-0.17233
"55"	"nea1027"	-0.16984
"56"	"nea1281"	-0.13897
"57"	"nea1601"	-0.07494
"58"	"nea1208"	-0.09934
"59"	"nea1408"	-0.15014
"60"	"nea1242"	-0.17518
"61"	"nea2520"	-0.16855
"62"	"nea1243"	-0.20097
"63"	"nea1254"	-0.08088
"64"	"nea1308"	-0.15272
"65"	"nea1245"	-0.11464
"66"	"nea1266"	-0.12404
"67"	"nea1303"	-0.11964
"68"	"nea1704"	-0.15039
"69"	"nea1407"	-0.13185
"70"	"nea1911"	-0.07162
"71"	"nea2223"	-0.14812
"72"	"nea1267"	-0.12837
"73"	"nea1310"	-0.0953
"74"	"nea1240"	-0.11572
"75"	"nea1315"	-0.11875
"76"	"nea1233"	-0.17237
"77"	"nea1405"	-0.12199
"78"	"nea1611"	-0.03044
"79"	"nea2145"	-0.07641
"80"	"nea1301"	-0.1431
