"id"	"num_100kb"	"totalLength"	"FROH"	"nea"
"1"	1	42	16068459	0.00741581374245426	"nea1004_bwa_rg"
"2"	2	35	36927832	0.017042699864663	"nea1027_bwa_rg"
"3"	3	24	17716698	0.0081764985988583	"nea1039_bwa_rg"
"4"	4	56	106010781	0.0489254263018071	"nea1114_bwa_rg"
"5"	5	31	9679186	0.00446707680895666	"nea1123_bwa_rg"
"6"	6	17	57251656	0.0264224227938139	"nea1127_bwa_rg"
"7"	7	29	10752200	0.00496228745529467	"nea1135_bwa_rg"
"8"	8	17	33368997	0.0154002488057203	"nea1142_bwa_rg"
"9"	9	22	56289863	0.0259785421611536	"nea1145_bwa_rg"
"10"	10	39	64903785	0.0299539850548392	"nea1151_bwa_rg"
"11"	11	10	66802588	0.0308303086264781	"nea1157_bwa_rg"
"12"	12	11	15557612	0.00718005086046965	"nea1158_bwa_rg"
"13"	13	2	7798202	0.00359897694968972	"nea1204_bwa_rg"
"14"	14	35	38165746	0.0176140141178329	"nea1208_bwa_rg"
"15"	15	57	85676740	0.0395409880873257	"nea1209_bwa_rg"
"16"	16	39	68663001	0.0316889146877091	"nea1233_bwa_rg"
"17"	17	32	29039290	0.0134020297685742	"nea1240_bwa_rg"
"18"	18	3	15253210	0.00703956517140448	"nea1241_bwa_rg"
"19"	19	40	40771463	0.0188165881753419	"nea1242_bwa_rg"
"20"	20	8	22382599	0.0103298757681768	"nea1243_bwa_rg"
"21"	21	47	98794650	0.0455950830848782	"nea1245_bwa_rg"
"22"	22	68	151248468	0.0698032379781754	"nea1246_bwa_rg"
"23"	23	31	29093372	0.0134269893517439	"nea1254_bwa_rg"
"24"	24	42	41718397	0.019253611176141	"nea1266_bwa_rg"
"25"	25	39	44256256	0.020424867837941	"nea1267_bwa_rg"
"26"	26	40	47727207	0.0220267592280977	"nea1281_bwa_rg"
"27"	27	31	73864514	0.0340894841254476	"nea1301_bwa_rg"
"28"	28	18	57114187	0.0263589789689044	"nea1303_bwa_rg"
"29"	29	49	143815927	0.0663730185844454	"nea1308_bwa_rg"
"30"	30	7	23472913	0.0108330706012838	"nea1310_bwa_rg"
"31"	31	29	57828115	0.0266884665117685	"nea1315_bwa_rg"
"32"	32	3	1366915	0.000630849980185833	"nea1334_bwa_rg"
"33"	33	25	63660243	0.0293800734026441	"nea1405_bwa_rg"
"34"	34	54	107122627	0.0494385584476024	"nea1406_bwa_rg"
"35"	35	17	46073882	0.0212637271130863	"nea1407_bwa_rg"
"36"	36	42	34513742	0.0159285642902733	"nea1408_bwa_rg"
"37"	37	36	69958778	0.0322869335072957	"nea1430_bwa_rg"
"38"	38	9	31713471	0.0146362008990859	"nea1503_bwa_rg"
"39"	39	22	16971080	0.00783238568728281	"nea1509_bwa_rg"
"40"	40	20	39721297	0.018331922193703	"nea1515_bwa_rg"
"41"	41	21	42561802	0.0196428541265356	"nea1601_bwa_rg"
"42"	42	50	85633913	0.0395212228406926	"nea1602_bwa_rg"
"43"	43	45	138155109	0.0637604736031294	"nea1608_bwa_rg"
"44"	44	52	85440648	0.0394320283981555	"nea1611_bwa_rg"
"45"	45	7	13798888	0.00636837566446087	"nea1612_bwa_rg"
"46"	46	21	48674647	0.0224640157548219	"nea1622_bwa_rg"
"47"	47	25	120824236	0.0557620385221966	"nea1629_bwa_rg"
"48"	48	15	28950407	0.0133610090476158	"nea1632_bwa_rg"
"49"	49	26	12613260	0.00582119211588047	"nea1701_bwa_rg"
"50"	50	12	30250049	0.0139608116175991	"nea1703_bwa_rg"
"51"	51	34	92242532	0.0425711909551736	"nea1704_bwa_rg"
"52"	52	46	100699544	0.0464742177363789	"nea1705_bwa_rg"
"53"	53	51	65546756	0.0302507249710813	"nea1706_bwa_rg"
"54"	54	33	80904508	0.0373385377062543	"nea1810_bwa_rg"
"55"	55	37	97218942	0.0448678722776381	"nea1812_bwa_rg"
"56"	56	72	178899153	0.0825644075347131	"nea1815_bwa_rg"
"57"	57	6	26198569	0.0120909981487855	"nea1817_bwa_rg"
"58"	58	83	221659830	0.102299045195565	"nea1911_bwa_rg"
"59"	59	38	31290927	0.0144411910601218	"nea1950_bwa_rg"
"60"	60	54	78553154	0.0362533556544735	"nea1968_bwa_rg"
"61"	61	38	88850374	0.0410056636128829	"nea1970D_bwa_rg"
"62"	62	18	34209946	0.0157883582785019	"nea2029_bwa_rg"
"63"	63	68	129033428	0.0595506929817217	"nea2040_bwa_rg"
"64"	64	20	70636319	0.032599627951665	"nea2123_bwa_rg"
"65"	65	43	78963770	0.0364428605581903	"nea2145_bwa_rg"
"66"	66	19	22899989	0.0105686583342094	"nea2223_bwa_rg"
"67"	67	50	86865356	0.0400895506388	"nea2330D_bwa_rg"
"68"	68	28	83667286	0.0386135975648101	"nea2430_bwa_rg"
"69"	69	26	27587518	0.0127320171215301	"nea2460_bwa_rg"
"70"	70	38	44480187	0.020528215059175	"nea2503_bwa_rg"
"71"	71	33	57772445	0.0266627740448654	"nea2520_bwa_rg"
"72"	72	62	110564786	0.0510271619357099	"nea2601_bwa_rg"
"73"	73	2	5537702	0.00255572526234261	"nea2605_bwa_rg"
"74"	74	27	48095918	0.0221969244007999	"nea2611_bwa_rg"
"75"	75	20	15143922	0.00698912726368194	"nea2614_bwa_rg"
"76"	76	35	38655389	0.0178399910636182	"nea2642_bwa_rg"
"77"	77	26	65029932	0.0300122036217951	"nea2660_bwa_rg"
"78"	78	39	32766984	0.015122411567032	"nea2710_bwa_rg"
"79"	79	47	75523981	0.0348553508575187	"nea2746_bwa_rg"
"80"	80	7	13559834	0.00625804897175258	"nea2753_bwa_rg"
"81"	81	23	31190334	0.0143947660138996	"nea2790_bwa_rg"
"82"	82	23	62368921	0.0287841106265289	"nea2791_bwa_rg"
"83"	83	35	22868886	0.0105543038740317	"nea3101_bwa_rg"
"84"	84	55	124967275	0.0576741077225925	"nea3115_bwa_rg"
"85"	85	51	29557336	0.0136411150875848	"nea3123_bwa_rg"
